movie_comment
1 결말이 아쉽긴한데 보는 내내 스릴감넘침 사람도없어서 더 넘침 ㅋㅎㅋㅎ 근데 마지막에 반전 개쩜 
2 Ost무섭고 초반에 쫄리는건 인정 근데 이거 진짜 개 씹노잼임 저 평점 남긴 적 없는데요 이거 보시면 제발 가지 마셈 마지막 10분을 위해서 1시간 30분 이상을 끌었음 tlqkf 이거 고소 안먹겠죠? 근ㄷ 진짜 개 씹노잼 씹 개노잼 아오 돈아까워 
3 무서웠어요.. 
4 처음에 와 이거 무서운건가봐 하고 긴장하고 봤다가.. 히어로물인가 헷갈렸다가... 이건 도대체 뭐지 하면서 끝나는 영화 
5 정말 재미있었어요!!!! 짱짱입니다. 
6 그닥... 
7 영화관에서 볼정도는 아니다 
8 초반 소리와 분위기를 통한 공포감은 훌륭했으나 중반부터 후반까지는 납득하기 어려운 장면과 SF적 설정으로 루즈해지고 긴장감 확 떨어짐. 막판 반전?은 예상 가능하나 나름 사이다라 괜찮. 
9 
10 막 무서운 장면은 없는데 중간중간 깜짝깜짝 놀람 볼만해유 
